Destination,IATA,ID DM,LIEN DM,,,,
Amsterdam,AMS,kF9X3csXrBGCJKxDgMh,https://www.dailymotion.com/video/kF9X3csXrBGCJKxDgMh,,Err :510,,"""Amsterdam""=>""kF9X3csXrBGCJKxDgMh"","
Athènes,ATH,k7CeYchSoVwnTOxDgMi,https://www.dailymotion.com/video/k7CeYchSoVwnTOxDgMi,,,,"""Athènes""=>""k7CeYchSoVwnTOxDgMi"","
Ajaccio,AJA,k3ClJCGzqak4bJxDgMk,https://www.dailymotion.com/video/k3ClJCGzqak4bJxDgMk,,,,"""Ajaccio""=>""k3ClJCGzqak4bJxDgMk"","
Alger,ALG,k4BjExlevPGFHixDgMl,https://www.dailymotion.com/video/k4BjExlevPGFHixDgMl,,,,"""Alger""=>""k4BjExlevPGFHixDgMl"","
Amman,AMM,k76eexQ3ot8bQ2xDgMn,https://www.dailymotion.com/video/k76eexQ3ot8bQ2xDgMn,,,,"""Amman""=>""k76eexQ3ot8bQ2xDgMn"","
Biarritz,BOQ,k29NozYBGGq5ytxDjmW,https://www.dailymotion.com/video/k29NozYBGGq5ytxDjmW,,,,"""Biarritz""=>""k29NozYBGGq5ytxDjmW"","
Barcelone,BCN,k2UnYIbj9um3NpxDjHX,https://www.dailymotion.com/video/k2UnYIbj9um3NpxDjHX,,,,"""Barcelone""=>""k2UnYIbj9um3NpxDjHX"","
Berlin,BER,k4KT3N3PoAZpdxxDjHT,https://www.dailymotion.com/video/k4KT3N3PoAZpdxxDjHT,,,,"""Berlin""=>""k4KT3N3PoAZpdxxDjHT"","
Brest,BES,k6XqrH8HBDhxNLxDjHU,https://www.dailymotion.com/video/k6XqrH8HBDhxNLxDjHU,,,,"""Brest""=>""k6XqrH8HBDhxNLxDjHU"","
Beyrouth,BEY,k7kCvmVPHkVDzPxDjHV,https://www.dailymotion.com/video/k7kCvmVPHkVDzPxDjHV,,,,"""Beyrouth""=>""k7kCvmVPHkVDzPxDjHV"","
Corse du Nord,BIA,k4hlr5TvDirHnlxDjHW,https://www.dailymotion.com/video/k4hlr5TvDirHnlxDjHW,,,,"""Corse du Nord""=>""k4hlr5TvDirHnlxDjHW"","
Pékin,BJS,k6PAzn4J6VebxFxDjmX,https://www.dailymotion.com/video/k6PAzn4J6VebxFxDjmX,,,,"""Pékin""=>""k6PAzn4J6VebxFxDjmX"","
Bangkok,BKK,kYr7cFT3MHQZT7xDjmY,https://www.dailymotion.com/video/kYr7cFT3MHQZT7xDjmY,,,,"""Bangkok""=>""kYr7cFT3MHQZT7xDjmY"","
Bologne,BLQ,k1RpV2MEd3daEoxDjmO,https://www.dailymotion.com/video/k1RpV2MEd3daEoxDjmO,,,,"""Bologne""=>""k1RpV2MEd3daEoxDjmO"","
Bordeaux,BOD,k2tovqQExJA6SUxDjmP,https://www.dailymotion.com/video/k2tovqQExJA6SUxDjmP,,,,"""Bordeaux""=>""k2tovqQExJA6SUxDjmP"","
Bogota,BOG,k3RZ5ZdS4i5qLAxDjmQ,https://www.dailymotion.com/video/k3RZ5ZdS4i5qLAxDjmQ,,,,"""Bogota""=>""k3RZ5ZdS4i5qLAxDjmQ"","
Mumbai,BOM,k5aLXMm128jLDRxDjmR,https://www.dailymotion.com/video/k5aLXMm128jLDRxDjmR,,,,"""Mumbai""=>""k5aLXMm128jLDRxDjmR"","
Boston,BOS,k3t3DitYmd9kQ1xDjmS,https://www.dailymotion.com/video/k3t3DitYmd9kQ1xDjmS,,,,"""Boston""=>""k3t3DitYmd9kQ1xDjmS"","
Budapest,BUD,k5vA1mX0wVuYsWxDjmT,https://www.dailymotion.com/video/k5vA1mX0wVuYsWxDjmT,,,,"""Budapest""=>""k5vA1mX0wVuYsWxDjmT"","
Buenos Aires,BUE,k7LTiH3fH4D4ifxDjmV,https://www.dailymotion.com/video/k7LTiH3fH4D4ifxDjmV,,,,"""Buenos Aires""=>""k7LTiH3fH4D4ifxDjmV"","
Le Caire,CAI,k6cu8WwbsAhk2vxDjPB,https://www.dailymotion.com/video/k6cu8WwbsAhk2vxDjPB,,,,"""Le Caire""=>""k6cu8WwbsAhk2vxDjPB"","
Casablanca,CAS,k31RmbblIeEMXjxDjPC,https://www.dailymotion.com/video/k31RmbblIeEMXjxDjPC,,,,"""Casablanca""=>""k31RmbblIeEMXjxDjPC"","
Cayenne,CAY,k6WeS36ju499QtxDjPD,https://www.dailymotion.com/video/k6WeS36ju499QtxDjPD,,,,"""Cayenne""=>""k6WeS36ju499QtxDjPD"","
Chicago,CHI,ky8Zu7OXMy2Jg0xDjPt,https://www.dailymotion.com/video/ky8Zu7OXMy2Jg0xDjPt,,,,"""Chicago""=>""ky8Zu7OXMy2Jg0xDjPt"","
Copenhague,CPH,k2HNZGz97vpAJPxDjPu,https://www.dailymotion.com/video/k2HNZGz97vpAJPxDjPu,,,,"""Copenhague""=>""k2HNZGz97vpAJPxDjPu"","
Le Cap,CPT,k4pyM2eBDbP7alxDjPv,https://www.dailymotion.com/video/k4pyM2eBDbP7alxDjPv,,,,"""Le Cap""=>""k4pyM2eBDbP7alxDjPv"","
Catane,CTA,k6SLF6wkSlSsRAxDjPw,https://www.dailymotion.com/video/k6SLF6wkSlSsRAxDjPw,,,,"""Catane""=>""k6SLF6wkSlSsRAxDjPw"","
Cancun,CUN,k5WMEQzxcnDvTlxDjPy,https://www.dailymotion.com/video/k5WMEQzxcnDvTlxDjPy,,,,"""Cancun""=>""k5WMEQzxcnDvTlxDjPy"","
New Delhi,DEL,k4J9aVVkD4PrDtxDjPz,https://www.dailymotion.com/video/k4J9aVVkD4PrDtxDjPz,,,,"""New Delhi""=>""k4J9aVVkD4PrDtxDjPz"","
Dallas,DFW,k7da8Vr2ibBtHExDjPA,https://www.dailymotion.com/video/k7da8Vr2ibBtHExDjPA,,,,"""Dallas""=>""k7da8Vr2ibBtHExDjPA"","
Dakar,DKR,k2cvArmzPYnUMdxDqVX,https://www.dailymotion.com/video/k2cvArmzPYnUMdxDqVX,,,,"""Dakar""=>""k2cvArmzPYnUMdxDqVX"","
Douala,DLA,k44NxUoDVpV5llxDqVY,https://www.dailymotion.com/video/k44NxUoDVpV5llxDqVY,,,,"""Douala""=>""k44NxUoDVpV5llxDqVY"","
Dublin,DUB,k742xyEO0TnqqJxDqVZ,https://www.dailymotion.com/video/k742xyEO0TnqqJxDqVZ,,,,"""Dublin""=>""k742xyEO0TnqqJxDqVZ"","
Dubaï,DXB,k4b7zv6llNVXwcxDqVN,https://www.dailymotion.com/video/k4b7zv6llNVXwcxDqVN,,,,"""Dubaï""=>""k4b7zv6llNVXwcxDqVN"","
Edimbourg,EDI,kKgI55iUvEP0xCxDqVO,https://www.dailymotion.com/video/kKgI55iUvEP0xCxDqVO,,,,"""Edimbourg""=>""kKgI55iUvEP0xCxDqVO"","
Faro,FAO,kH6NiQaIgY5fhYxDqVP,https://www.dailymotion.com/video/kH6NiQaIgY5fhYxDqVP,,,,"""Faro""=>""kH6NiQaIgY5fhYxDqVP"","
Martinique,FDF,k6tX1EC1XBUBG5xDqVR,https://www.dailymotion.com/video/k6tX1EC1XBUBG5xDqVR,,,,"""Martinique""=>""k6tX1EC1XBUBG5xDqVR"","
Florence,FLR,k3Z4zIZHCfYlURxDqVS,https://www.dailymotion.com/video/k3Z4zIZHCfYlURxDqVS,,,,"""Florence""=>""k3Z4zIZHCfYlURxDqVS"","
Fortaleza,FOR,k23mA9SCgzb5mLxDqVU,https://www.dailymotion.com/video/k23mA9SCgzb5mLxDqVU,,,,"""Fortaleza""=>""k23mA9SCgzb5mLxDqVU"","
Francfort,FRA,kpYywReyDyVJhuxDqVW,https://www.dailymotion.com/video/kpYywReyDyVJhuxDqVW,,,,"""Francfort""=>""kpYywReyDyVJhuxDqVW"","
Glasgow,GLA,k37gLdaCkG2gaKxDr99,https://www.dailymotion.com/video/k37gLdaCkG2gaKxDr99,,,,"""Glasgow""=>""k37gLdaCkG2gaKxDr99"","
Genève,GVA,k6v2IX7qRU0ldAxDr9a,https://www.dailymotion.com/video/k6v2IX7qRU0ldAxDr9a,,,,"""Genève""=>""k6v2IX7qRU0ldAxDr9a"","
Hambourg,HAM,k1RNmRDvjs8mTYxDr9b,https://www.dailymotion.com/video/k1RNmRDvjs8mTYxDr9b,,,,"""Hambourg""=>""k1RNmRDvjs8mTYxDr9b"","
Hanoï,HAN,k6hdZuJSLmqRrrxDr9c,https://www.dailymotion.com/video/k6hdZuJSLmqRrrxDr9c,,,,"""Hanoï""=>""k6hdZuJSLmqRrrxDr9c"","
La Havane,HAV,k5FFqMsCHiCBhYxDr9d,https://www.dailymotion.com/video/k5FFqMsCHiCBhYxDr9d,,,,"""La Havane""=>""k5FFqMsCHiCBhYxDr9d"","
Hong Kong,HKG,k3VLLHf2FRmOvXxDr93,https://www.dailymotion.com/video/k3VLLHf2FRmOvXxDr93,,,,"""Hong Kong""=>""k3VLLHf2FRmOvXxDr93"","
Houston,HOU,k518dbkVGwkxiwxDr94,https://www.dailymotion.com/video/k518dbkVGwkxiwxDr94,,,,"""Houston""=>""k518dbkVGwkxiwxDr94"","
Istanbul,IST,k3Rj2asrknmMz8xDr95,https://www.dailymotion.com/video/k3Rj2asrknmMz8xDr95,,,,"""Istanbul""=>""k3Rj2asrknmMz8xDr95"","
Johannesbourg ,JNB,k6OKOOOMRuLi7FxDr97,https://www.dailymotion.com/video/k6OKOOOMRuLi7FxDr97,,,,"""Johannesbourg ""=>""k6OKOOOMRuLi7FxDr97"","
Los Angeles,LAX,k2mWcyl2pqnKDtxDr98,https://www.dailymotion.com/video/k2mWcyl2pqnKDtxDr98,,,,"""Los Angeles""=>""k2mWcyl2pqnKDtxDr98"","
Saint Pertersbourg,LED,k3IVhlldMFthqWxDrLz,https://www.dailymotion.com/video/k3IVhlldMFthqWxDrLz,,,,"""Saint Pertersbourg""=>""k3IVhlldMFthqWxDrLz"","
Lima,LIM,k20ogdIdKNwyyOxDrLA,https://www.dailymotion.com/video/k20ogdIdKNwyyOxDrLA,,,,"""Lima""=>""k20ogdIdKNwyyOxDrLA"","
Lisbonne,LIS,k39BvB6GnRtyIPxDrLB,https://www.dailymotion.com/video/k39BvB6GnRtyIPxDrLB,,,,"""Lisbonne""=>""k39BvB6GnRtyIPxDrLB"","
Londres,LON,k4M4KZ5DHkPY6NxDrLC,https://www.dailymotion.com/video/k4M4KZ5DHkPY6NxDrLC,,,,"""Londres""=>""k4M4KZ5DHkPY6NxDrLC"","
Lyon,LYS,k2crUTlROWPC5ZxDrLE,https://www.dailymotion.com/video/k2crUTlROWPC5ZxDrLE,,,,"""Lyon""=>""k2crUTlROWPC5ZxDrLE"","
Madrid,MAD,k2vDmxarCIspvZxDrLu,https://www.dailymotion.com/video/k2vDmxarCIspvZxDrLu,,,,"""Madrid""=>""k2vDmxarCIspvZxDrLu"","
Manchester,MAN,k3AWbMaiCfEolOxDrLv,https://www.dailymotion.com/video/k3AWbMaiCfEolOxDrLv,,,,"""Manchester""=>""k3AWbMaiCfEolOxDrLv"","
Mexico,MEX,k7CcdoeTkVPLOFxDrLw,https://www.dailymotion.com/video/k7CcdoeTkVPLOFxDrLw,,,,"""Mexico""=>""k7CcdoeTkVPLOFxDrLw"","
Miami,MIA,k2gYIjp3DW5rX5xDrLx,https://www.dailymotion.com/video/k2gYIjp3DW5rX5xDrLx,,,,"""Miami""=>""k2gYIjp3DW5rX5xDrLx"","
Milan,MIL,k1AApcVqFKBUAuxDrLy,https://www.dailymotion.com/video/k1AApcVqFKBUAuxDrLy,,,,"""Milan""=>""k1AApcVqFKBUAuxDrLy"","
