iata,lang,sentence,sound
ABJ,en,Hello / Good morning / Good afternoon: <em>Bonjour (morning)</em>,https://img.static-af.com/m/3a95e52723a996d3/original/TBAF-Essential_Phrases-FR-01.mp3
ABJ,en,Good evening: <em>Bonsoir</em>,https://img.static-af.com/m/2fd3b8a0846be37a/original/TBAF-Essential_Phrases-FR-02.mp3
ABJ,en,Goodbye: <em>Au revoir</em>,https://img.static-af.com/m/1b94c2077248fbcb/original/TBAF-Essential_Phrases-FR-03.mp3
ABJ,en,Yes: <em>Oui</em>,https://img.static-af.com/m/47bdfe61b7040a0c/original/TBAF-Essential_Phrases-FR-04.mp3
ABJ,en,No: <em>Non</em>,https://img.static-af.com/m/13b6b987607ed6df/original/TBAF-Essential_Phrases-FR-05.mp3
ABJ,en,"No, thank you: <em>Non, merci</em>",https://img.static-af.com/m/30fa4afcf3f6e649/original/TBAF-Essential_Phrases-FR-06.mp3
ABJ,en,Thank you very much: <em>Merci beaucoup</em>,https://img.static-af.com/m/63f883fab1df4ae8/original/TBAF-Essential_Phrases-FR-07.mp3
ABJ,en,Please: <em>S'il vous plaît</em>,https://img.static-af.com/m/7e086e924d2f9f78/original/TBAF-Essential_Phrases-FR-08.mp3
ABJ,en,I don't understand: <em>Je ne comprends pas</em>,https://img.static-af.com/m/76125bf9d16336c/original/TBAF-Essential_Phrases-FR-09.mp3
ABJ,en,Could you repeat ?: <em>Pouvez-vous répéter ?</em>,https://img.static-af.com/m/5a357b17a00272b0/original/TBAF-Essential_Phrases-FR-10.mp3
ABJ,en,What time is it ?: <em>Quelle heure est-il ?</em>,https://img.static-af.com/m/7db440ea37b4fbbd/original/TBAF-Essential_Phrases-FR-11.mp3
ABJ,en,"Sorry: <em>Pardon</em><br />
Excuse me: <em>Excusez-moi</em>",https://img.static-af.com/m/540d0639d97137e4/original/TBAF-Essential_Phrases-FR-12.mp3
ABJ,en,Airport: <em>Aéroport</em>,https://img.static-af.com/m/5a40a6dd52d5a57a/original/TBAF-Essential_Phrases-FR-13.mp3
ABJ,en,Train station: <em>Gare</em>,https://img.static-af.com/m/1099fdb932037103/original/TBAF-Essential_Phrases-FR-14.mp3
ABJ,en,Taxi: <em>Taxi</em>,https://img.static-af.com/m/1a6f6c53d7ece8e/original/TBAF-Essential_Phrases-FR-15.mp3
ABJ,en,Hotel: <em>Hôtel</em>,https://img.static-af.com/m/176c404040afaad8/original/TBAF-Essential_Phrases-FR-16.mp3
ABJ,en,Hospital: <em>Hôpital</em>,https://img.static-af.com/m/235804a7cef1aabd/original/TBAF-Essential_Phrases-FR-17.mp3
ABJ,en,Bank: <em>Banque</em>,https://img.static-af.com/m/677a8c790947d565/original/TBAF-Essential_Phrases-FR-18.mp3
ABJ,en,Telephone: <em>Téléphone</em>,https://img.static-af.com/m/5ad6096df3e17d97/original/TBAF-Essential_Phrases-FR-19.mp3
ABJ,en,I'm (…): <em>Je suis (…)</em>,https://img.static-af.com/m/1f629f2393bcc257/original/TBAF-Essential_Phrases-FR-20.mp3
ABJ,en,I'm looking for (…): <em>Je recherche (…)</em>,https://img.static-af.com/m/4f113592675bd9c9/original/TBAF-Essential_Phrases-FR-21.mp3
ABJ,en,How much is (…)?: <em>Quel est le prix de (…) ?</em>,https://img.static-af.com/m/191fedfcf7431dc0/original/TBAF-Essential_Phrases-FR-22.mp3
ABJ,en,Do you have (…)?: <em>Avez-vous (…) ?</em>,https://img.static-af.com/m/397cee73bbb1b6ef/original/TBAF-Essential_Phrases-FR-23.mp3
